Coordinates,Name,Kind,Linked to Item:,Rich Description,icon name
POINT (103.7281636 1.3318083),Crocodile Tooth,fixed,,"You’re now at Rasau Walk, a 300m boardwalk that showcases a restored freshwater swamp. Before heavy industry reached Jurong, mangroves like these were part of the range of the estuarine crocodile (Crocodylus porosus). Even the old place-names hint at this. Pulau Buaya (Malay for “Crocodile Island”) appears on maps dating back all the way to the early 1800s. Reclamation has folded the islet into today’s Jurong Island. 

[crocs.jpg]

Through the 1970s–90s, crocodiles were still occasionally reported around Jurong Lake and the Chinese/Japanese Gardens. Warning signs were still up in the 1980s, and a 1992 news report noted at least three crocodiles seen here over several years (one was even captured by a professional “croc hunter”). Today, you won’t find crocodiles in Jurong Lake, with their stronghold in Singapore being up north around Sungei Buloh and the Straits of Johor. If you see a big, scaly reptile here, it’s almost certainly the Malayan/Asian water monitor - a cousin of the Komodo dragon and a common sight in Jurong Lake Gardens.

Jurong also had another connection to crocodiles. In the 70s and 80s, the crocodile trade was flourishing in Singapore, with about 90 farms raising crocodiles, exporting over 92,000 kg of crocodile skin in 1980. Crocodile leather handbags and clothing hence  became popular items sold to tourists in this period.

[crocparadise.jpg]

To capitalise on this interest, the Jurong Town Corporation (JTC) announced plans to open Jurong Crocodile Paradise in 1986. The $10 million park project, which was situated on a plot next to Jurong Bird Park, aimed to provide both entertainment and education, featuring an amusement center, tanning workshops, and a 200-seat auditorium for visitors. The park ultimately closed in 2006 due to financial reasons, being unable to compete with the Singapore Zoo or Bird Park. 

Though there is only one crocodile farm left in Singapore, the city-state continues to play a large role in the crocodile skin trade. In 2018, for instance, Singapore was the largest importer of reptile skins from Africa, accounting for 60% of all reptile skins exported. This dominance is largely due to the presence of major tanneries in the country - chief among them, Heng Long Leather. Heng Long has long been a global player, supplying tanned crocodile leather to fashion houses like Hermès and Gucci, even before LVMH (Louis Vuitton Moët Hennessy) acquired a 51% stake in the company in 2011. As Heng Long’s executive director Koh Choon Heong once remarked to The Straits Times:

“Few Singaporeans realise that if they own a crocodile-skin bag, it was most likely dyed in their very own backyard.”
",tooth.jpg
POINT (103.7283051 1.3396371),Twin Pagoda,landmark,Yin and Yang Token,"Balance is one of the guiding principles of the Chinese Garden, and it greets you from the very entrance. Guarding the gates are two mighty marble lions, symbols of authority and felicity. They always appear in pairs, manifesting yin and yang. The male lion rests his paw on an embroidered ball, representing the external and material world. The female steadies a cub beneath her paw, symbolising the cycle of life and the living spirit within. Together, they protect both the structure and the soul. In some traditions the male’s mouth is open while the female’s is closed, forming the sacred syllable “om” - creation and completion.

The Chinese phrase 乾坤清气 (qián kūn qīng qì) gracing the Grand Arch symbolises ""the pure energy of Heaven and Earth"", represents the balance of masculine and feminine energies (乾坤).

The theme of balance continues deeper inside. In front of you, the Twin Pagodas embody yin and yang in architectural form. The broader Cloud Draping Tower (Pi Yun Ge) represents Yang, active and expansive, its very name evoking clouds enveloping the sky. Opposite it, the slender Moon Receiving Tower (Yeh Yueh Lou) represents Yin, receptive and nurturing, welcoming the moon’s gentle light. Both rise three storeys high, reflecting the auspicious use of odd numbers in Chinese architecture.

More generally, during the construction of the Chinese Garden in the early 1970s, great attention was paid to harmony and proportion. Traditional Chinese architects decreed that every structure must be balanced in height and size, and that buildings should harmonise with plants, flowing streams, and winding pebble paths. The contractors overseeing construction made multiple trips to China to study classical styles and consult experts, ensuring that every element of Jurong’s Chinese Garden reflected this enduring principle of balance.

On a grander level, when looking at the lake as a whole, where the Chinese Garden is designed to be visually exciting, the Japanese Gardens are designed with a calmness to evoke inner peace and a meditative state. ",twinp.png
POINT (103.7283051 1.3396371),Yin and Yang Token,fixed,,"Balance is one of the guiding principles of the Chinese Garden, and it greets you from the very entrance. Guarding the gates are two mighty marble lions, symbols of authority and felicity. They always appear in pairs, manifesting yin and yang. The male lion rests his paw on an embroidered ball, representing the external and material world. The female steadies a cub beneath her paw, symbolising the cycle of life and the living spirit within. Together, they protect both the structure and the soul. In some traditions the male’s mouth is open while the female’s is closed, forming the sacred syllable “om” - creation and completion.

The theme of balance continues deeper inside. In front of you, the Twin Pagodas embody yin and yang in architectural form. The broader Cloud Draping Tower (Pi Yun Ge, ___) represents Yang, active and expansive, its very name evoking clouds enveloping the sky. Opposite it, the slender Moon Receiving Tower (Yeh Yueh Lou, ___) represents Yin, receptive and nurturing, welcoming the moon’s gentle light. Both rise three storeys high, reflecting the auspicious use of odd numbers in Chinese architecture.

More generally, during the construction of the Chinese Garden in the early 1970s, great attention was paid to harmony and proportion. Traditional Chinese architects decreed that every structure must be balanced in height and size, and that buildings should harmonise with plants, flowing streams, and winding pebble paths. The contractors overseeing construction made multiple trips to China to study classical styles and consult experts, ensuring that every element of Jurong’s Chinese Garden reflected this enduring principle of balance.

On a grander level, when looking at the lake as a whole, where the Chinese Garden is designed to be visually exciting, the Japanese Gardens are designed with a calmness to evoke inner peace and a meditative state. ",yinyang.png
POINT (103.7297358 1.3382861),Crown,fixed,,"Along this path you will find eight sculptures of legendary Chinese heroes, each chosen to embody virtues such as loyalty, righteousness, and patriotism. Among them are Lin Zexu, the Qing official who fought the opium trade in 1840; Zheng He, the Ming navigator whose voyages brought him to Southeast Asia and Africa; Wen Tianxiang, a Song general who resisted the invading Mongols; Hua Mulan, the woman warrior who disguised herself as a man; and Guan Yu, celebrated in the Romance of the Three Kingdoms for loyalty and courage.

[statues.jpg]

These sculptures were not state commissions but gifts. In 1991, businessman Goi Seng Hui, better known as Sam Goi, the “Popiah King,” donated S$1 million to create and install the statues at Marina City Park, then envisioned as Singapore’s premier “City in a Garden” park. Goi expressed hope that they would not be “just another backdrop for wedding photos,” but a permanent showcase of values such as filial piety, loyalty, righteousness, benevolence, and love for all races.

Their unveiling sparked public debate. Prime Minister Goh Chok Tong, who officiated the ceremony, said he hoped to see a multicultural representation of heroes at the park, including figures from Malay and Indian traditions. Community leaders suggested that their own legendary heroes, such as the Malay warrior Hang Tuah and the Indian sage Thiruvalluvar, could one day be represented alongside the Chinese figures. Others, however, argued that statues were a low priority compared to urgent needs like improving children’s education. MUIS President Zainul Abidin Rasheed added that Malay heroes should be honoured in symbolic rather than physical form.

When Marina City Park closed in 2007 to make way for Gardens by the Bay, the statues were relocated here.

[sam_g.jpg]

Sam Goi’s own story is tied to Jurong. Arriving in Singapore as a child migrant, he began with little, eventually setting up a mechanical engineering workshop serving businesses in Jurong. In 1977, he diversified by acquiring a small popiah skin factory, Tee Yih Jia, which he transformed into a global frozen foods leader. Its flagship brand Spring Home is now sold worldwide.",crown.png
POINT (103.7288695 1.338935),Stoneboat,landmark,Wedding Ring,"The Stoneboat is a famous feature of traditional Chinese architecture, designed so visitors can admire the surrounding scenery while feeling as if they were aboard a vessel floating on water. The version here in Jurong’s Chinese Garden follows the Beijing style, with some adaptations in its materials and design.

Stone boats are not just ornamental. Their boat-like form, blending seamlessly with the water, reflects Taoist ideals of harmony with nature. At the same time, the paradox of a vessel that cannot sail plays with the theme of illusion and reality, so central to Chinese art and literature. These pavilions also served as scholarly retreats, places for poetry and quiet contemplation, and their solidity came to symbolise permanence — an eternal counterpoint to wooden boats that decay or sink.

[stoneboat.jpg]

In Singapore, the Stoneboat also served another purpose. In the late 1970s, the Chinese Garden became a popular destination for wedding photography. It was estimated that around 200 couples each month came here in their wedding finery to pose amid the bridges, pavilions, and lakeside views. To serve this demand, in June 1982 the Registry of Marriages opened a branch in the garden’s Stone Boat itself. The location offered couples the convenience of solemnising their marriages and taking photographs in the same picturesque setting.

At its peak, at least 100 couples used the Stone Boat registry each month, especially on weekends. But the numbers dwindled after 1984, as couples found it more convenient to marry at the centrally located Fort Canning registry, and the branch soon close.

Across the pond, you’ll see the Tea Pavilion, featuring  three pavilions connected by a winding corridor, seemingly floating above the Lotus Pond – a design inspired by the Summer Palace. A poetic stone inscription greets visitors, inviting contemplation of the serene surroundings, including views of the Stoneboat.",stoneboat.png
POINT (103.7288695 1.338935),Wedding Ring,fixed,,"The Stoneboat is a famous feature of traditional Chinese architecture, designed so visitors can admire the surrounding scenery while feeling as if they were aboard a vessel floating on water. The version here in Jurong’s Chinese Garden follows the Beijing style, with some adaptations in its materials and design.

Stone boats are not just ornamental. Their boat-like form, blending seamlessly with the water, reflects Taoist ideals of harmony with nature. At the same time, the paradox of a vessel that cannot sail plays with the theme of illusion and reality, so central to Chinese art and literature. These pavilions also served as scholarly retreats, places for poetry and quiet contemplation, and their solidity came to symbolise permanence — an eternal counterpoint to wooden boats that decay or sink.

[stoneboat.jpg]

In Singapore, the Stoneboat also served another purpose. In the late 1970s, the Chinese Garden became a popular destination for wedding photography. It was estimated that around 200 couples each month came here in their wedding finery to pose amid the bridges, pavilions, and lakeside views. To serve this demand, in June 1982 the Registry of Marriages opened a branch in the garden’s Stone Boat itself. The location offered couples the convenience of solemnising their marriages and taking photographs in the same picturesque setting.

At its peak, at least 100 couples used the Stone Boat registry each month, especially on weekends. But the numbers dwindled after 1984, as couples found it more convenient to marry at the centrally located Fort Canning registry, and the branch soon close.

Across the pond, you’ll see the Tea Pavilion, featuring  three pavilions connected by a winding corridor, seemingly floating above the Lotus Pond – a design inspired by the Summer Palace. A poetic stone inscription greets visitors, inviting contemplation of the serene surroundings, including views of the Stoneboat.",ring.png
POINT (103.7309275 1.3391409),Cloud Piercing Pagoda,landmark,Hardhat,"You are now standing in front of the Cloud Piercing Pagoda (Ru Yun T’a), the seven-storey pagoda that rises over the Chinese Garden. Its design is a faithful replica of the Linggu Temple Pagoda in Nanjing, one of many landmarks carefully copied here in Jurong when the garden opened in 1975. Faithful replication was the guiding principle. As Mr Tan, the engineer in charge, explained at the time: “Everything is designed to be as authentic as possible. We don’t want a watered-down version.”The garden's design principles were based on classical northern Chinese imperial architecture, particular the Song Dynasty period (960-1279). 

The 13-arch White Rainbow Bridge echoes Beijing’s Seventeen-Arch Bridge. The tea house recreates the meandering corridors of the Summer Palace. On the northern shore, the twin pagodas mirrores the Spring and Autumn Pagodas in  Kaohsiung, Taiwan. Together they created, in one reporter’s words, a “many-splendoured thing.”

But these structures were hard to build. This was the first project of its kind in Singapore, and local labourers had little experience with traditional Chinese architectural techniques. Translating two-dimensional plans into timber, stone, and tile required specialised skills. Workers were trained on the job, guided by Taiwanese mentors who brought their expertise to Jurong. ",cloudp.png
POINT (103.7309275 1.3391409),Hardhat,fixed,,"You are now standing in front of the Cloud Piercing Pagoda (Ru Yun T’a), the seven-storey pagoda that rises over the Chinese Garden. Its design is a faithful replica of the Linggu Temple Pagoda in Nanjing, one of many landmarks carefully copied here in Jurong when the garden opened in 1975. Faithful replication was the guiding principle. As Mr Tan, the engineer in charge, explained at the time: “Everything is designed to be as authentic as possible. We don’t want a watered-down version.”The garden's design principles were based on classical northern Chinese imperial architecture, particular the Song Dynasty period (960-1279). 

The 13-arch White Rainbow Bridge echoes Beijing’s Seventeen-Arch Bridge. The tea house recreates the meandering corridors of the Summer Palace. On the northern shore, the twin pagodas mirrores the Spring and Autumn Pagodas in  Kaohsiung, Taiwan. Together they created, in one reporter’s words, a “many-splendoured thing.”

But these structures were hard to build. This was the first project of its kind in Singapore, and local labourers had little experience with traditional Chinese architectural techniques. Translating two-dimensional plans into timber, stone, and tile required specialised skills. Workers were trained on the job, guided by Taiwanese mentors who brought their expertise to Jurong. ",hardhat.png
POINT (103.7295396 1.335076),Giftbox,fixed,,"The Japanese Garden was the first island to be built out on Jurong Lake, opening in 1973 as the largest Japanese garden outside of Japan at the time. It is also known as Seiwaen, a name derived from Sei (Singapore), Wa (Japan), and En (Garden) — literally “Singapore’s Japanese Garden.”

The project cost about $3 million, with $1.8 million provided by a Singapore Government grant and the remainder donated, largely by the Japanese Government. Through its Overseas Technical Cooperation Agency, Japan contributed the expertise of Professor Kinsaku Nakane, the country’s leading garden and landscape artist at the time. Designing the garden with his assistants, he took inspiration from the aesthetics of gardens during the Muromachi period (1392-1568) and the Momoyama period (1568-1615).

The Japanese Chamber of Commerce also contributed 500 tons of rocks, valued at over $180,000, along with 10 stone lanterns. Some of these lanterns can still be seen in front of you today.

This tradition of gifting continues. In 2021, US chipmaker Micron Technology donated S$1 million to support the development of the Water Lily Pond at the Japanese Garden. Their contribution funded a smart water management system that uses natural vegetation and microbes to filter the water, with sensors monitoring quality in real time.",giftbox.png
POINT (103.7274602 1.3326227),Grasslands,landmark,,"You’re now in the Grasslands of Lakeside Gardens, a rolling patch of tall grass and gentle mounds. It forms part of the intertidal habitat, found within freshwater swamp forests, transiting from dry grassland of the inland area towards wet grasslands at the shore edge. Over 3.5 hectare in size, the Grasslands aim to create a transition that provides refuge areas and nesting grounds for both migratory and resident avian population. 

Three bird hides ring the area, perfect for observing the over 205 bird species that have spotting at Jurong Lake. The gardens is said to be one of the five bird watching hotspots in Singapore with over 200 species recorded.

[brahminy.jpg] 

Keep an eye out for grassland regulars: paddyfield pipit (a brown ground-runner that tail-bobs between clumps) and the long-tailed shrike (the black-masked perch-hunter. Listen for the zitting cisticola (making its “zit-zit” display flights overhead). Over the mounds, raptors patrol – black-winged kite (hovering white-grey in the wind, and the brahminy kite (chestnut body, white head and breast) which has even been seen perching on the Lone Tree. Speaking of the Lone Tree, it is a sculpture, forged from recycled iron reinforcing bars salvaged from the old Jurong Lake Park, alluding to Jurong’s industrial origins. 

[lonetree.jpg]

This area also links to a bigger bird story. In 1967–68, Finance Minister Goh Keng Swee floated the idea of starting an aviary after visits to similar facilities in Rio and Bangkok. While a 20.4-hectare site on Jurong Hill became Jurong Bird Park in 1971, an early notion was to situate the park on the island just across the water from here. That land instead hosted a golf course from the 1970s till 2017, when it was cleared for the planned Singapore–Kuala Lumpur High-Speed Rail terminus. With the HSR cancelled, the site today remains a white plot, held for detailed planning.",grassland.png
