Coordinates,Name,Rich Description,icon name
POINT (103.7297358 1.3382861),Crown,"Along this path you will find eight sculptures of legendary Chinese heroes, each chosen to embody virtues such as loyalty, righteousness, and patriotism. Among them are Lin Zexu, the Qing official who fought the opium trade in 1840; Zheng He, the Ming navigator whose voyages brought him to Southeast Asia and Africa; Wen Tianxiang, a Song general who resisted the invading Mongols; Hua Mulan, the woman warrior who disguised herself as a man; and Guan Yu, celebrated in the Romance of the Three Kingdoms for loyalty and courage.

[statues.jpg]

These sculptures were not state commissions but gifts. In 1991, businessman Goi Seng Hui, better known as Sam Goi, the “Popiah King,” donated S$1 million to create and install the statues at Marina City Park, then envisioned as Singapore’s premier “City in a Garden” park. Goi expressed hope that they would not be “just another backdrop for wedding photos,” but a permanent showcase of values such as filial piety, loyalty, righteousness, benevolence, and love for all races.

Their unveiling sparked public debate. Prime Minister Goh Chok Tong, who officiated the ceremony, said he hoped to see a multicultural representation of heroes at the park, including figures from Malay and Indian traditions. Community leaders suggested that their own legendary heroes, such as the Malay warrior Hang Tuah and the Indian sage Thiruvalluvar, could one day be represented alongside the Chinese figures. Others, however, argued that statues were a low priority compared to urgent needs like improving children’s education. MUIS President Zainul Abidin Rasheed added that Malay heroes should be honoured in symbolic rather than physical form.

When Marina City Park closed in 2007 to make way for Gardens by the Bay, the statues were relocated here.

[sam_g.jpg]

Sam Goi’s own story is tied to Jurong. Arriving in Singapore as a child migrant, he began with little, eventually setting up a mechanical engineering workshop serving businesses in Jurong. In 1977, he diversified by acquiring a small popiah skin factory, Tee Yih Jia, which he transformed into a global frozen foods leader. Its flagship brand Spring Home is now sold worldwide.",
POINT (103.7288695 1.338935),Wedding Ring,"The Stoneboat is a famous feature of traditional Chinese architecture, designed so visitors can admire the surrounding scenery while feeling as if they were aboard a vessel floating on water. The version here in Jurong’s Chinese Garden follows the Beijing style, with some adaptations in its materials and design.

Stone boats are not just ornamental. Their boat-like form, blending seamlessly with the water, reflects Taoist ideals of harmony with nature. At the same time, the paradox of a vessel that cannot sail plays with the theme of illusion and reality, so central to Chinese art and literature. These pavilions also served as scholarly retreats, places for poetry and quiet contemplation, and their solidity came to symbolise permanence — an eternal counterpoint to wooden boats that decay or sink.

[stoneboat.jpg]

In Singapore, the Stoneboat also served another purpose. In the late 1970s, the Chinese Garden became a popular destination for wedding photography. It was estimated that around 200 couples each month came here in their wedding finery to pose amid the bridges, pavilions, and lakeside views. To serve this demand, in June 1982 the Registry of Marriages opened a branch in the garden’s Stone Boat itself. The location offered couples the convenience of solemnising their marriages and taking photographs in the same picturesque setting.

At its peak, at least 100 couples used the Stone Boat registry each month, especially on weekends. But the numbers dwindled after 1984, as couples found it more convenient to marry at the centrally located Fort Canning registry, and the branch soon close.

Across the pond, you’ll see the Tea Pavilion, featuring  three pavilions connected by a winding corridor, seemingly floating above the Lotus Pond – a design inspired by the Summer Palace. A poetic stone inscription greets visitors, inviting contemplation of the serene surroundings, including views of the Stoneboat.",
POINT (103.7309275 1.3391409),Hardhat,"You are now standing in front of the Cloud Piercing Pagoda (Ru Yun T’a), the seven-storey pagoda that rises over the Chinese Garden. Its design is a faithful replica of the Linggu Temple Pagoda in Nanjing, one of many landmarks carefully copied here in Jurong when the garden opened in 1975. Faithful replication was the guiding principle. As Mr Tan, the engineer in charge, explained at the time: “Everything is designed to be as authentic as possible. We don’t want a watered-down version.”The garden's design principles were based on classical northern Chinese imperial architecture, particular the Song Dynasty period (960-1279). 

The 13-arch White Rainbow Bridge echoes Beijing’s Seventeen-Arch Bridge. The tea house recreates the meandering corridors of the Summer Palace. On the northern shore, the twin pagodas mirrores the Spring and Autumn Pagodas in  Kaohsiung, Taiwan. Together they created, in one reporter’s words, a “many-splendoured thing.”

But these structures were hard to build. This was the first project of its kind in Singapore, and local labourers had little experience with traditional Chinese architectural techniques. Translating two-dimensional plans into timber, stone, and tile required specialised skills. Workers were trained on the job, guided by Taiwanese mentors who brought their expertise to Jurong. ",
POINT (103.7295396 1.335076),Giftbox,"The Japanese Garden was the first island to be built out on Jurong Lake, opening in 1973 as the largest Japanese garden outside of Japan at the time. It is also known as Seiwaen, a name derived from Sei (Singapore), Wa (Japan), and En (Garden) — literally “Singapore’s Japanese Garden.”

The project cost about $3 million, with $1.8 million provided by a Singapore Government grant and the remainder donated, largely by the Japanese Government. Through its Overseas Technical Cooperation Agency, Japan contributed the expertise of Professor Kinsaku Nakane, the country’s leading garden and landscape artist at the time. Designing the garden with his assistants, he took inspiration from the aesthetics of gardens during the Muromachi period (1392-1568) and the Momoyama period (1568-1615).

The Japanese Chamber of Commerce also contributed 500 tons of rocks, valued at over $180,000, along with 10 stone lanterns. Some of these lanterns can still be seen in front of you today.

This tradition of gifting continues. In 2021, US chipmaker Micron Technology donated S$1 million to support the development of the Water Lily Pond at the Japanese Garden. Their contribution funded a smart water management system that uses natural vegetation and microbes to filter the water, with sensors monitoring quality in real time.",
POINT (103.7274602 1.3326227),Feather,birds seen + bird park idea,
POINT (103.7306983 1.3353566),Megaphone,People's garden,
POINT (103.7307327 1.3363554),Cobwebs,Derelict + national garden,
POINT (103.7332092 1.334165),Compass,"Large, nothing much to do",
POINT (103.728657 1.3280068),Film Camera,Tang Dynesty Village,
POINT (103.7281902 1.3382537),Turtle Shell,Tortoise Musuem,
